merchant,categoria

mercado livre,Vestuário / Compras
shopee,Vestuário / Compras
amazon,Vestuário / Compras
americanas,Vestuário / Compras
magalu,Casa / Utilidades
magazine luiza,Casa / Utilidades
casas bahia,Casa / Utilidades
leroy merlin,Casa / Utilidades
home center dal pozzo,Casa / Utilidades

shop2gether,Vestuário / Compras
urban helmets,Vestuário / Compras
urban *urban helmets,Vestuário / Compras
privalia,Vestuário / Compras
dafiti,Vestuário / Compras
renner,Vestuário / Compras
riachuelo,Vestuário / Compras
cea,Vestuário / Compras
c&a,Vestuário / Compras

redeguapodepostos,Combustível
rede guapo,Combustível
posto indio,Combustível
rotta400,Combustível
ipiranga,Combustível
shell,Combustível

panificadora doce mel,Alimentação fora de casa
pizzaria bonsucesso,Alimentação fora de casa
rest meruza,Alimentação fora de casa
sabor irresistivel,Alimentação fora de casa
d & d prensado,Alimentação fora de casa
d d prensado,Alimentação fora de casa
cervejaria guarapuava,Alimentação fora de casa

cruz e cruz alimentos,Supermercado

farmacia batel,Saúde
academia vigor,Saúde

ictus,Educação

nova parada hotel,Lazer / Viagens

bitguard,Proteção Veicular
lobo motos,Veículos
credpag fianca loft,Moradia
fianca loft,Moradia
